indicator_id,actor_id_ground_truth,onion_address,leak_type,cert_fingerprint,clearnet_match_domain,confidence_hint,scan_date
I00209,A00323,dyjbvxsmekwlrnca.onion,exposed_status_page,,host-209.example-clearnet.net,0.76,2025-01-06
I00210,A00456,hdof5q7bsf54ypb5.onion,ssl_cert_reuse,0C:AE:76:29:7A:E6:6B:22:AB:48:2B:FE:5A:A6:04:5D:CB:47:38:96,host-210.example-clearnet.net,0.73,2025-12-22
I00211,A00214,v4hdvmn6uhkjlxnv.onion,descriptor_timing,,host-211.example-clearnet.net,0.76,2025-10-27
I00212,A00278,bxb7cvf5z4vfzebi.onion,descriptor_timing,,host-212.example-clearnet.net,0.5,2025-04-04
I00213,A00116,utncb5iin2w4gs3v.onion,descriptor_timing,,host-213.example-clearnet.net,0.49,2025-11-05
I00214,A00053,aud4p3wzff4qd6qe.onion,ssl_cert_reuse,BB:60:3B:E6:C9:7A:0F:13:5B:0B:1D:C2:03:DB:19:61:B0:99:52:A3,,0.43,2026-01-31
I00215,A00417,j3vonyv3sp3qla4x.onion,default_banner,,host-215.example-clearnet.net,0.47,2026-06-24
I00216,A00324,juw54akc4hx2bwix.onion,descriptor_timing,,,0.56,2025-06-15
I00217,A00094,j5gay6z4uvpgfdgk.onion,exposed_status_page,,host-217.example-clearnet.net,0.62,2025-03-12
I00218,A00305,kfpodv5fxgxom6ix.onion,ssl_cert_reuse,67:D6:EB:9D:46:AF:63:4B:E6:78:1A:67:05:DA:4D:CA:07:F6:11:3D,host-218.example-clearnet.net,0.7,2025-03-14
I00219,A00072,67ijafamloffeam5.onion,default_banner,,host-219.example-clearnet.net,0.67,2026-03-13
I00220,A00269,giiyc2gslqu3rfsv.onion,exposed_status_page,,,0.43,2026-02-27
I00221,A00176,ahrdpoy73hiow4gb.onion,ssl_cert_reuse,66:3C:EB:0C:51:F0:CE:A2:96:2C:BB:AF:EB:98:3C:1E:2F:52:BD:D6,host-221.example-clearnet.net,0.64,2026-04-12
I00222,A00018,xrmdsd3s4eaj6arn.onion,descriptor_timing,,,0.72,2025-12-21
I00223,A00447,ddvreoeyu5hjcwdh.onion,exposed_status_page,,host-223.example-clearnet.net,0.76,2026-06-18
I00224,A00131,2gyept4e7zfm425s.onion,default_banner,,host-224.example-clearnet.net,0.75,2025-11-13
I00225,A00453,pu3ta6qdzi4ocv5y.onion,default_banner,,host-225.example-clearnet.net,0.52,2025-06-22
I00226,A00543,am2eoyizoprlsfjd.onion,ssl_cert_reuse,B8:27:B4:D4:52:0B:11:13:FC:AE:93:1B:16:3F:22:3E:0F:44:7A:A9,,0.67,2026-06-03
I00227,A00169,q5y6ucymrq5arstl.onion,descriptor_timing,,,0.81,2026-02-26
I00228,A00315,xpscklzy7ng34wbt.onion,exposed_status_page,,,0.72,2026-06-25
I00229,A00019,vdeery2rxnp5gu6q.onion,exposed_status_page,,host-229.example-clearnet.net,0.64,2026-07-30
I00230,A00256,dzxwte7nlmskvhm3.onion,ssl_cert_reuse,EA:AD:A2:E6:85:C4:1D:39:78:B5:0B:8E:0A:92:49:8F:96:10:A0:E6,host-230.example-clearnet.net,0.58,2025-07-03
I00231,A00024,qtqjv65yhizadnqi.onion,exposed_status_page,,,0.77,2026-01-30
I00232,A00469,zizcvvm6hcnvvrwn.onion,descriptor_timing,,host-232.example-clearnet.net,0.79,2025-12-02
I00233,A00239,ks43ovbjaaulvzrk.onion,descriptor_timing,,host-233.example-clearnet.net,0.45,2025-03-30
I00234,A00045,lueioo6b4dcndklr.onion,exposed_status_page,,host-234.example-clearnet.net,0.52,2025-06-22
I00235,A00515,4twowwb3jticr72n.onion,exposed_status_page,,,0.89,2025-02-05
I00236,A00367,3k4k6tek6jlkmslo.onion,exposed_status_page,,host-236.example-clearnet.net,0.74,2026-05-02
I00237,A00400,vjk46v4hsozvpmq5.onion,descriptor_timing,,host-237.example-clearnet.net,0.92,2026-03-19
I00238,A00493,wkk4lb5uowrk7eyi.onion,ssl_cert_reuse,77:B3:CD:63:87:93:69:BF:13:FF:A6:96:7F:9F:8A:B7:0B:4F:D3:70,,0.79,2026-02-23
I00239,A00187,pq4rpjiv6xtwwubt.onion,ssl_cert_reuse,AF:08:1C:1C:E5:88:74:62:40:A1:9C:91:90:86:8F:8F:FF:4D:D4:9A,,0.69,2025-03-15
I00240,A00393,sch4hr6l4cpmxrpu.onion,exposed_status_page,,host-240.example-clearnet.net,0.64,2025-11-27
I00241,A00282,k6nwjaeonsoytysw.onion,default_banner,,host-241.example-clearnet.net,0.7,2026-05-24
I00242,A00197,4s43ufpj3ml5nehk.onion,exposed_status_page,,host-242.example-clearnet.net,0.75,2025-09-11
I00243,A00384,gtzlpsakeyq234gp.onion,default_banner,,,0.68,2025-10-31
I00244,A00439,bbtxxlxj2urydz7l.onion,descriptor_timing,,host-244.example-clearnet.net,0.51,2025-04-19
I00245,A00450,3e3qdxp724cqfuha.onion,descriptor_timing,,,0.49,2025-01-09
I00246,A00020,zhqg4o6gsqlhsbkc.onion,exposed_status_page,,host-246.example-clearnet.net,0.69,2025-03-28
I00247,A00594,3bumccaxrfp2w2u2.onion,default_banner,,host-247.example-clearnet.net,0.63,2026-07-04
I00248,A00476,6maglnexzykz6vwn.onion,descriptor_timing,,host-248.example-clearnet.net,0.75,2025-07-13
I00249,A00475,yaczuhg3aogqfp5x.onion,exposed_status_page,,,0.94,2025-11-05
I00250,A00260,4gmtcm5w5fnsxwjj.onion,default_banner,,host-250.example-clearnet.net,0.68,2025-03-19
